"","tree","Location","Freq","cluster"
"350","Escherichia_coli_Shigella51397.png","Mexico",1,"cluster1"
"351","Escherichia_coli_Shigella51397.png","Netherlands",4,"cluster1"
"352","Escherichia_coli_Shigella51397.png","NULL",7,"cluster1"
"353","Escherichia_coli_Shigella51397.png","Pakistan",5,"cluster1"
"354","Escherichia_coli_Shigella51397.png","Portugal",1,"cluster1"
"355","Escherichia_coli_Shigella51397.png","Sweden",1,"cluster1"
"356","Escherichia_coli_Shigella51397.png","United Kingdom",5,"cluster1"
"357","Escherichia_coli_Shigella51397.png","USA",16,"cluster1"
"358","Escherichia_coli_Shigella51397.png","Zambia",1,"cluster1"
"359","Escherichia_coli_Shigella51925.png","Canada",2,"cluster1"
"360","Escherichia_coli_Shigella51925.png","China",16,"cluster1"
"361","Escherichia_coli_Shigella51925.png","Egypt",2,"cluster1"
"362","Escherichia_coli_Shigella51925.png","India",9,"cluster1"
"363","Escherichia_coli_Shigella51925.png","Italy",1,"cluster1"
"364","Escherichia_coli_Shigella51925.png","Lebanon",1,"cluster1"
"365","Escherichia_coli_Shigella51925.png","Myanmar",6,"cluster1"
"366","Escherichia_coli_Shigella51925.png","NULL",9,"cluster1"
"367","Escherichia_coli_Shigella51925.png","Pakistan",1,"cluster1"
"368","Escherichia_coli_Shigella51925.png","South Africa",1,"cluster1"
"369","Escherichia_coli_Shigella51925.png","Switzerland",1,"cluster1"
"370","Escherichia_coli_Shigella51925.png","Tunisia",1,"cluster1"
"371","Escherichia_coli_Shigella51925.png","USA",4,"cluster1"
"372","Escherichia_coli_Shigella52969.png","Austria",1,"cluster1"
"373","Escherichia_coli_Shigella52969.png","China",6,"cluster1"
"374","Escherichia_coli_Shigella52969.png","Colombia",1,"cluster1"
"375","Escherichia_coli_Shigella52969.png","Germany",9,"cluster1"
"376","Escherichia_coli_Shigella52969.png","India",1,"cluster1"
"377","Escherichia_coli_Shigella52969.png","Kosovo",1,"cluster1"
"378","Escherichia_coli_Shigella52969.png","Netherlands",9,"cluster1"
"379","Escherichia_coli_Shigella52969.png","NULL",7,"cluster1"
"380","Escherichia_coli_Shigella52969.png","Sri Lanka",1,"cluster1"
"381","Escherichia_coli_Shigella52969.png","Thailand",3,"cluster1"
"382","Escherichia_coli_Shigella52969.png","USA",6,"cluster1"
"383","Escherichia_coli_Shigella52969.png","Vietnam",1,"cluster1"
"384","Escherichia_coli_Shigella54167.png","Mali",1,"cluster1"
"385","Escherichia_coli_Shigella54167.png","Mexico",2,"cluster1"
"386","Escherichia_coli_Shigella54167.png","Netherlands",2,"cluster1"
"387","Escherichia_coli_Shigella54167.png","NULL",18,"cluster1"
"388","Escherichia_coli_Shigella54167.png","Pakistan",1,"cluster1"
"389","Escherichia_coli_Shigella54167.png","Saudi Arabia",1,"cluster1"
"390","Escherichia_coli_Shigella54167.png","United Kingdom",1,"cluster1"
"391","Escherichia_coli_Shigella54167.png","USA",10,"cluster1"
"392","Escherichia_coli_Shigella54167.png","Zambia",1,"cluster1"
"393","Escherichia_coli_Shigella55222.png","China",2,"cluster1"
"394","Escherichia_coli_Shigella55222.png","NULL",1,"cluster1"
"395","Escherichia_coli_Shigella55222.png","United Kingdom",5,"cluster1"
"396","Escherichia_coli_Shigella55222.png","USA",53,"cluster1"
"397","Escherichia_coli_Shigella55674.png","Australia",2,"cluster1"
"398","Escherichia_coli_Shigella55674.png","Burkina Faso",1,"cluster1"
"399","Escherichia_coli_Shigella55674.png","Canada",3,"cluster1"
"400","Escherichia_coli_Shigella55674.png","Chile",6,"cluster1"
"401","Escherichia_coli_Shigella55674.png","China",1,"cluster1"
"402","Escherichia_coli_Shigella55674.png","Japan",1,"cluster1"
"403","Escherichia_coli_Shigella55674.png","Mexico",1,"cluster1"
"404","Escherichia_coli_Shigella55674.png","Norway",1,"cluster1"
"405","Escherichia_coli_Shigella55674.png","NULL",2,"cluster1"
"406","Escherichia_coli_Shigella55674.png","United Kingdom",5,"cluster1"
"407","Escherichia_coli_Shigella55674.png","USA",77,"cluster1"
"408","Escherichia_coli_Shigella56786.png","China",3,"cluster1"
"409","Escherichia_coli_Shigella56786.png","Germany",3,"cluster1"
"410","Escherichia_coli_Shigella56786.png","Netherlands",2,"cluster1"
"411","Escherichia_coli_Shigella56786.png","Norway",2,"cluster1"
"412","Escherichia_coli_Shigella56786.png","NULL",4,"cluster1"
"413","Escherichia_coli_Shigella56786.png","Thailand",1,"cluster1"
"414","Escherichia_coli_Shigella56786.png","United Kingdom",20,"cluster1"
"415","Escherichia_coli_Shigella56786.png","USA",34,"cluster1"
"416","Escherichia_coli_Shigella57332.png","Canada",1,"cluster1"
"417","Escherichia_coli_Shigella57332.png","Denmark",1,"cluster1"
"418","Escherichia_coli_Shigella57332.png","Netherlands",2,"cluster1"
"419","Escherichia_coli_Shigella57332.png","NULL",1,"cluster1"
"420","Escherichia_coli_Shigella57332.png","United Kingdom",20,"cluster1"
"421","Escherichia_coli_Shigella57332.png","USA",21,"cluster1"
